TransactionID,Date,Region,Product,Segment,UnitsSold,UnitPrice,Revenue,Cost,Profit,SalesRep
TX-1001,2024-01-05,North America,Cloud Storage,Enterprise,120,45.00,5400.00,2160.00,3240.00,Sarah Jenkins
TX-1002,2024-01-08,Europe,API Access,Mid-Market,85,30.00,2550.00,1020.00,1530.00,Liam Weber
TX-1003,2024-01-12,Asia Pacific,Analytics Suite,Enterprise,45,150.00,6750.00,2700.00,4050.00,Mei Chen
TX-1004,2024-01-15,North America,Security Plus,SMB,15,60.00,900.00,360.00,540.00,Alex Morgan
TX-1005,2024-01-19,Latin America,Cloud Storage,Mid-Market,60,45.00,2700.00,1080.00,1620.00,Carlos Silva
TX-1006,2024-01-22,Europe,Analytics Suite,Enterprise,70,150.00,10500.00,4200.00,6300.00,Emma Fischer
TX-1007,2024-01-25,North America,API Access,Enterprise,110,30.00,3300.00,1320.00,1980.00,Sarah Jenkins
TX-1008,2024-01-28,Asia Pacific,Cloud Storage,SMB,35,45.00,1575.00,630.00,945.00,Kenji Sato
TX-1009,2024-02-02,Europe,Security Plus,Mid-Market,50,60.00,3000.00,1200.00,1800.00,Liam Weber
TX-1010,2024-02-06,North America,Analytics Suite,Enterprise,95,150.00,14250.00,5700.00,8550.00,Alex Morgan
TX-1011,2024-02-10,Latin America,API Access,SMB,40,30.00,1200.00,480.00,720.00,Carlos Silva
TX-1012,2024-02-14,Asia Pacific,Security Plus,Enterprise,65,60.00,3900.00,1560.00,2340.00,Mei Chen
TX-1013,2024-02-18,North America,Cloud Storage,Enterprise,140,45.00,6300.00,2520.00,3780.00,Sarah Jenkins
TX-1014,2024-02-21,Europe,Cloud Storage,SMB,45,45.00,2025.00,810.00,1215.00,Emma Fischer
TX-1015,2024-02-25,North America,API Access,Mid-Market,75,30.00,2250.00,900.00,1350.00,Alex Morgan
TX-1016,2024-03-01,Asia Pacific,Analytics Suite,SMB,25,150.00,3750.00,1500.00,2250.00,Kenji Sato
TX-1017,2024-03-05,Europe,Security Plus,Enterprise,80,60.00,4800.00,1920.00,2880.00,Liam Weber
TX-1018,2024-03-09,Latin America,Cloud Storage,Enterprise,90,45.00,4050.00,1620.00,2430.00,Carlos Silva
TX-1019,2024-03-14,North America,Analytics Suite,Mid-Market,60,150.00,9000.00,3600.00,5400.00,Sarah Jenkins
TX-1020,2024-03-18,Asia Pacific,API Access,Mid-Market,55,30.00,1650.00,660.00,990.00,Mei Chen
TX-1021,2024-03-22,Europe,Cloud Storage,Enterprise,105,45.00,4725.00,1890.00,2835.00,Emma Fischer
TX-1022,2024-03-26,North America,Security Plus,Enterprise,115,60.00,6900.00,2760.00,4140.00,Alex Morgan
TX-1023,2024-03-30,Latin America,Analytics Suite,SMB,20,150.00,3000.00,1200.00,1800.00,Carlos Silva
TX-1024,2024-04-03,North America,Cloud Storage,Mid-Market,70,45.00,3150.00,1260.00,1890.00,Sarah Jenkins
TX-1025,2024-04-07,Asia Pacific,Security Plus,SMB,30,60.00,1800.00,720.00,1080.00,Kenji Sato
TX-1026,2024-04-11,Europe,API Access,Enterprise,130,30.00,3900.00,1560.00,2340.00,Liam Weber
TX-1027,2024-04-15,North America,Analytics Suite,Enterprise,110,150.00,16500.00,6600.00,9900.00,Alex Morgan
TX-1028,2024-04-19,Latin America,Security Plus,Mid-Market,50,60.00,3000.00,1200.00,1800.00,Carlos Silva
TX-1029,2024-04-24,Europe,Cloud Storage,Mid-Market,65,45.00,2925.00,1170.00,1755.00,Emma Fischer
TX-1030,2024-04-28,Asia Pacific,Analytics Suite,Enterprise,80,150.00,12000.00,4800.00,7200.00,Mei Chen
