CustomerID,Gender,SeniorCitizen,Partner,Dependents,TenureMonths,PhoneService,InternetService,ContractType,MonthlyCharges,TotalCharges,Churn
CUST-001,Female,0,Yes,No,1,No,DSL,Month-to-Month,29.85,29.85,No
CUST-002,Male,0,No,No,34,Yes,DSL,One-Year,56.95,1889.50,No
CUST-003,Male,0,No,No,2,Yes,DSL,Month-to-Month,53.85,108.15,Yes
CUST-004,Male,0,No,No,45,No,DSL,One-Year,42.30,1840.75,No
CUST-005,Female,0,No,No,2,Yes,Fiber-Optic,Month-to-Month,70.70,151.65,Yes
CUST-006,Female,0,No,No,8,Yes,Fiber-Optic,Month-to-Month,99.65,820.50,Yes
CUST-007,Male,0,No,Yes,22,Yes,Fiber-Optic,Month-to-Month,89.10,1949.40,No
CUST-008,Female,0,No,No,10,No,DSL,Month-to-Month,29.75,301.90,No
CUST-009,Female,0,Yes,No,28,Yes,Fiber-Optic,Month-to-Month,104.80,3046.05,Yes
CUST-010,Male,0,No,Yes,62,Yes,DSL,One-Year,56.15,3487.95,No
CUST-011,Male,1,Yes,No,13,Yes,Fiber-Optic,Month-to-Month,89.85,1164.35,No
CUST-012,Male,0,No,No,16,Yes,No,Two-Year,18.95,326.80,No
CUST-013,Male,0,Yes,Yes,58,Yes,Fiber-Optic,One-Year,100.35,5681.10,No
CUST-014,Male,0,No,No,49,Yes,Fiber-Optic,Month-to-Month,103.70,5036.30,Yes
CUST-015,Male,0,No,No,25,Yes,Fiber-Optic,Month-to-Month,105.50,2686.05,No
CUST-016,Female,0,Yes,Yes,69,Yes,DSL,Two-Year,113.25,7895.15,No
CUST-017,Female,0,No,No,52,No,DSL,One-Year,20.65,1022.95,No
CUST-018,Male,0,No,Yes,71,Yes,Fiber-Optic,Two-Year,106.70,7382.25,No
CUST-019,Female,0,Yes,Yes,10,Yes,Fiber-Optic,Month-to-Month,95.45,980.20,Yes
CUST-020,Male,0,No,No,21,Yes,DSL,One-Year,64.85,1336.80,No
CUST-021,Male,1,No,No,12,Yes,Fiber-Optic,Month-to-Month,100.50,1198.50,Yes
CUST-022,Male,0,Yes,No,42,Yes,No,One-Year,19.80,820.60,No
CUST-023,Female,0,No,No,1,Yes,No,Month-to-Month,20.15,20.15,No
CUST-024,Female,0,Yes,No,54,Yes,DSL,Two-Year,59.60,3216.50,No
CUST-025,Male,0,Yes,Yes,49,Yes,DSL,Month-to-Month,59.60,2920.10,No
CUST-026,Male,0,No,No,30,Yes,DSL,Month-to-Month,55.30,1530.60,Yes
CUST-027,Male,0,Yes,Yes,47,Yes,Fiber-Optic,Month-to-Month,99.35,4749.15,Yes
CUST-028,Male,0,Yes,Yes,1,No,DSL,Month-to-Month,30.20,30.20,Yes
CUST-029,Male,0,Yes,No,72,Yes,Fiber-Optic,Two-Year,90.25,6369.45,No
CUST-030,Female,0,No,Yes,17,Yes,DSL,Month-to-Month,64.70,1093.10,Yes
